steamid,appid,playtime_forever
76561198009405343,20920,2263
76561198009405343,22000,3
76561198009405343,25800,51
76561198009405343,29180,1
76561198009405343,37600,6
76561198009405343,38740,1
76561198009405343,40700,165
76561198009405343,42910,701
76561198009405343,43110,325
76561198009405343,49520,3009
76561198009405343,108700,821
76561198009405343,113020,5
76561198009405343,203630,1
76561198009405343,203730,1
76561198009405343,204240,11
76561198009405343,206190,194
76561198009405343,208140,5
76561198009405343,219740,54
76561198009405343,219910,1150
76561198009405343,221810,53
76561198009405343,221910,65
76561198009405343,225080,449
76561198009405343,233150,4
76561198009405343,234270,1073
76561198009405343,236850,1442
76561198009405343,238460,60
76561198009405343,239030,395
76561198009405343,239070,9
76561198009405343,249050,104
76561198009405343,252110,1588
76561198009405343,252410,228
76561198009405343,253030,3
76561198009405343,257510,2584
76561198009405343,260230,399
76561198009405343,272600,199
76561198009405343,273350,181
76561198009405343,274190,798
76561198009405343,281990,15439
76561198009405343,282070,6831
76561198009405343,284830,213
76561198009405343,289130,7
76561198009405343,298260,10
76561198009405343,307570,1
76561198009405343,314790,346
76561198009405343,316790,76
76561198009405343,318600,19
76561198009405343,319630,164
76561198009405343,322190,1650
76561198009405343,322330,5489
76561198009405343,327220,614
76561198009405343,336140,1282
76561198009405343,350010,13
76561198009405343,359510,467
76561198009405343,359550,2734
76561198009405343,365450,282
76561198009405343,383870,261
76561198009405343,384310,254
76561198009405343,390290,118
76561198009405343,391540,36
76561198009405343,409710,838
76561198009405343,409720,696
76561198009405343,413150,1334
76561198009405343,418240,2037
76561198009405343,421050,841
76561198009405343,421120,337
76561198009405343,435120,151
76561198009405343,436150,53
76561198009405343,437160,11
76561198009405343,464920,96
76561198009405343,475550,224
76561198009405343,493540,6
76561198009405343,503400,13
76561198009405343,548430,6399
76561198009405343,571310,71
76561198009405343,578080,1770
76561198009405343,609320,266
76561198009405343,618140,9
76561198009405343,632470,1033
76561198009405343,646570,503
76561198009405343,699920,655
76561198009405343,723270,197
76561198009405343,753640,145
76561198009405343,835960,2526
76561198009405343,837470,1531
76561198009405343,858820,2564
76561198009405343,859570,132
76561198009405343,862740,3
76561198009405343,881100,39
76561198009405343,945360,163
76561198009405343,961200,229
76561198009405343,996580,459
76561198009405343,1049280,85
76561198009405343,1049710,29
76561198009405343,1055850,6
76561198009405343,1091500,3114
76561198009405343,1131620,246
76561198009405343,1145360,46
76561198009405343,1172450,366
76561198009405343,1172620,1394
76561198009405343,1176710,186
76561198009405343,1182310,522
76561198009405343,1210320,646
76561198009405343,1222140,729
76561198009405343,1369520,497
76561198009405343,1376760,288
76561198009405343,1455900,6
76561198009405343,1504250,185
76561198009405343,1599340,3475
76561198009405343,1599880,117
76561198009405343,1721530,2211
76561198009405343,1794680,2122
76561198009405343,1815780,9
76561198009405343,1931770,708
76561198009405343,1966720,221
76561198009405343,2016590,394
76561198009405343,2073850,262
76561198009405343,2225070,92
76561198009405343,2229830,20
76561198009405343,2229840,1
76561198009405343,2229850,424
76561198009405343,2229870,2
76561198009405343,2229880,5
76561198009405343,2366980,86
76561198009405343,2507950,2037
76561198009405343,2587450,10
76561198009405343,2667970,104
76561198009405343,2835570,201
76561198009405343,3008740,689
76561198750649660,220,182
76561198750649660,620,327
76561198750649660,730,4225
76561198750649660,4000,303
76561198750649660,203140,42
76561198750649660,225540,408
76561198750649660,264710,310
76561198750649660,265930,391
76561198750649660,286690,79
76561198750649660,292030,44
76561198750649660,307690,52
76561198750649660,322170,1822
76561198750649660,374040,60
76561198750649660,391540,184
76561198750649660,431960,2794
76561198750649660,447040,445
76561198750649660,460920,401
76561198750649660,552520,560
76561198750649660,581660,39
76561198750649660,599140,100
76561198750649660,611790,252
76561198750649660,629520,1760
76561198750649660,703080,341
76561198750649660,766570,1441
76561198750649660,1120320,426
76561198750649660,1174180,274
76561198750649660,1222140,554
76561198750649660,1250410,560
76561198750649660,1551360,2617
76561198750649660,1787480,77
76561198750649660,1836160,31
76561198750649660,2129530,85
76561198750649660,2475460,507
76561198750649660,2961530,206
76561198750649660,3240220,8359
76561198750649660,3241660,642
76561198750649660,3419430,1342
76561198750649660,3527290,1175
76561199064701575,550,1415
76561199064701575,620,817
76561199064701575,730,1711
76561199064701575,105600,11471
76561199064701575,207140,404
76561199064701575,210970,873
76561199064701575,211820,183
76561199064701575,223710,20
76561199064701575,230230,263
76561199064701575,230410,41761
76561199064701575,245390,273
76561199064701575,261570,201
76561199064701575,270110,42
76561199064701575,280790,9
76561199064701575,291550,2495
76561199064701575,292030,8365
76561199064701575,304930,384
76561199064701575,312520,318
76561199064701575,312990,62
76561199064701575,322170,261
76561199064701575,322330,182
76561199064701575,322500,340
76561199064701575,335240,43
76561199064701575,335300,3018
76561199064701575,346010,275
76561199064701575,346110,84
76561199064701575,360870,17
76561199064701575,367520,2332
76561199064701575,373420,189
76561199064701575,387290,832
76561199064701575,397900,643
76561199064701575,413150,4508
76561199064701575,420290,431
76561199064701575,428550,213
76561199064701575,431960,1491
76561199064701575,433340,183
76561199064701575,435150,333
76561199064701575,438100,287
76561199064701575,440310,124
76561199064701575,444640,25
76561199064701575,504230,3953
76561199064701575,524220,3426
76561199064701575,550900,249
76561199064701575,551170,879
76561199064701575,552500,955
76561199064701575,557600,309
76561199064701575,559650,548
76561199064701575,588650,1569
76561199064701575,619820,342
76561199064701575,632360,565
76561199064701575,638970,250
76561199064701575,643270,7
76561199064701575,690040,439
76561199064701575,700330,11
76561199064701575,705210,154
76561199064701575,736260,64
76561199064701575,774171,356
76561199064701575,798490,138
76561199064701575,814380,480
76561199064701575,892970,6240
76561199064701575,960090,5938
76561199064701575,972660,154
76561199064701575,983970,1079
76561199064701575,1004770,200
76561199064701575,1030300,3640
76561199064701575,1049590,362
76561199064701575,1057090,973
76561199064701575,1082430,212
76561199064701575,1083600,182
76561199064701575,1085660,184
76561199064701575,1092790,1480
76561199064701575,1096180,329
76561199064701575,1104450,211
76561199064701575,1113560,2966
76561199064701575,1147690,9
76561199064701575,1157340,188
76561199064701575,1169040,306
76561199064701575,1172620,5577
76561199064701575,1203220,275
76561199064701575,1237970,527
76561199064701575,1245620,9864
76561199064701575,1262350,47
76561199064701575,1276390,143
76561199064701575,1281930,6125
76561199064701575,1282270,244
76561199064701575,1286280,1048
76561199064701575,1289310,36
76561199064701575,1353300,2536
76561199064701575,1392820,24
76561199064701575,1399720,47484
76561199064701575,1422450,1039
76561199064701575,1454400,1862
76561199064701575,1468260,506
76561199064701575,1476970,587
76561199064701575,1578650,257
76561199064701575,1604000,313
76561199064701575,1620690,96
76561199064701575,1623730,8955
76561199064701575,1625450,47
76561199064701575,1637320,443
76561199064701575,1687950,1878
76561199064701575,1691190,335
76561199064701575,1703340,142
76561199064701575,1703610,28
76561199064701575,1740930,130
76561199064701575,1782210,571
76561199064701575,1809540,1683
76561199064701575,1864000,77
76561199064701575,1875830,669
76561199064701575,1902490,68
76561199064701575,1927780,1471
76561199064701575,1966720,470
76561199064701575,1973530,14296
76561199064701575,1976440,378
76561199064701575,1980530,6514
76561199064701575,2064650,76
76561199064701575,2074920,60
76561199064701575,2083160,34
76561199064701575,2088840,70
76561199064701575,2096610,303
76561199064701575,2132850,1376
76561199064701575,2134320,30
76561199064701575,2142790,193
76561199064701575,2143030,193
76561199064701575,2325290,31489
76561199064701575,2357570,3427
76561199064701575,2365810,411
76561199064701575,2379780,1064
76561199064701575,2449040,27
76561199064701575,2521630,469
76561199064701575,2622380,9823
76561199064701575,2678640,243
76561199064701575,2707930,177
76561199064701575,2738000,17
76561199064701575,2739990,221
76561199064701575,2767030,735
76561199064701575,2768430,1178
76561199064701575,2769780,90
76561199064701575,2852760,57
76561199064701575,2881650,401
76561199064701575,2918310,202
76561199064701575,2986450,72
76561199064701575,3028310,277
76561199064701575,3061570,140
76561199064701575,3108510,340
76561199064701575,3191030,329
76561199064701575,3224770,123
76561199064701575,3274300,50
76561199064701575,3361470,123
76561199064701575,3372980,231
76561199064701575,3400000,453
76561199064701575,3454590,6498
76561199064701575,3513350,867
76561199064701575,3527290,921
76561199064701575,3571820,251
76561199064701575,3594120,82
76561199064701575,3694480,262
76561199064701575,3767740,359
76561199064701575,3830210,76
76561199064701575,3854330,327
76561199064701575,3862670,254
76561199064701575,3914780,2102
76561199064701575,3929760,287
76561199064701575,3979330,207
76561199064701575,4126480,489
76561199064701575,4161970,304
76561199208519382,10,88
76561199208519382,20,6
76561199208519382,70,728
76561199208519382,220,1056
76561199208519382,240,1023
76561199208519382,320,12
76561199208519382,360,29
76561199208519382,400,1
76561199208519382,440,5086
76561199208519382,500,9
76561199208519382,550,1224
76561199208519382,620,643
76561199208519382,730,44364
76561199208519382,1250,411
76561199208519382,4000,25276
76561199208519382,17520,95
76561199208519382,29900,41
76561199208519382,43160,1289
76561199208519382,201810,110
76561199208519382,203140,747
76561199208519382,207610,298
76561199208519382,214490,978
76561199208519382,218620,1195
76561199208519382,223470,795
76561199208519382,223710,502
76561199208519382,224260,112
76561199208519382,227300,3875
76561199208519382,230410,2606
76561199208519382,234140,1786
76561199208519382,236390,432
76561199208519382,238320,1267
76561199208519382,239140,19
76561199208519382,242640,758
76561199208519382,242760,2350
76561199208519382,251570,3647
76561199208519382,253710,61
76561199208519382,274170,972
76561199208519382,286690,463
76561199208519382,291550,141
76561199208519382,304390,306
76561199208519382,304930,44
76561199208519382,305620,599
76561199208519382,322330,150
76561199208519382,323190,110
76561199208519382,341940,198
76561199208519382,357070,26
76561199208519382,373600,3
76561199208519382,377160,772
76561199208519382,380600,17
76561199208519382,381210,9380
76561199208519382,383180,116
76561199208519382,386180,416
76561199208519382,412020,1331
76561199208519382,414700,441
76561199208519382,431960,520
76561199208519382,438100,42
76561199208519382,444200,233
76561199208519382,447040,210
76561199208519382,471710,552
76561199208519382,504130,102
76561199208519382,546090,26
76561199208519382,548430,1580
76561199208519382,552500,68
76561199208519382,553790,45
76561199208519382,557340,220
76561199208519382,578080,11388
76561199208519382,582660,132
76561199208519382,588430,72
76561199208519382,588690,111
76561199208519382,594650,443
76561199208519382,601150,189
76561199208519382,609320,197
76561199208519382,612470,169
76561199208519382,629520,32846
76561199208519382,629820,294
76561199208519382,657200,389
76561199208519382,662830,50
76561199208519382,667530,9
76561199208519382,700330,40
76561199208519382,701470,26
76561199208519382,706990,9
76561199208519382,715510,42
76561199208519382,745740,9
76561199208519382,753660,7
76561199208519382,755790,59
76561199208519382,782330,348
76561199208519382,884660,463
76561199208519382,965200,42
76561199208519382,999220,522
76561199208519382,1017180,426
76561199208519382,1172470,4925
76561199208519382,1174180,4843
76561199208519382,1180380,314
76561199208519382,1196590,756
76561199208519382,1222140,1
76561199208519382,1238840,423
76561199208519382,1245430,77
76561199208519382,1262560,357
76561199208519382,1262580,1004
