final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,macro_target
general_final_0079,90,87,42400,69,66,0.766667,0.934858,487.356322,36,34,26,25,7,7,28,27,2,2,4,3,11,11,7,7,7,6,3,3,2,2,1,1,0,0,combat
general_final_0080,109,95,56252,89,78,0.816514,0.915061,592.126316,34,33,44,36,11,9,20,19,4,4,5,5,10,9,25,19,6,5,4,3,2,2,4,3,0,0,exploration
general_final_0086,55,42,63149,43,32,0.781818,0.835405,1503.547619,23,19,16,11,4,2,20,18,0,0,3,1,9,8,5,1,2,2,1,0,0,0,2,1,0,0,exploration
general_final_0089,79,53,42585,63,43,0.797468,0.820007,803.490566,14,10,49,33,0,0,7,5,5,3,2,2,9,8,32,20,7,5,0,0,0,0,0,0,0,0,exploration
general_final_0093,8,7,1608,4,4,0.5,0.776119,229.714286,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,strategic_reasoning
general_final_0095,48,32,173446,42,28,0.875,0.861922,5420.1875,10,6,28,18,4,4,6,2,1,1,2,2,7,3,13,10,8,5,0,0,0,0,4,4,0,0,exploration
general_final_0096,55,36,12882,46,31,0.836364,0.769135,357.833333,14,12,29,18,3,1,6,6,2,2,4,2,13,12,14,5,2,1,0,0,0,0,3,1,0,0,exploration
general_final_0097,228,182,226032,135,109,0.592105,0.882194,1241.934066,39,26,57,48,39,35,8,4,10,9,21,13,18,15,26,21,12,12,20,17,7,7,11,10,0,0,exploration
general_final_0098,147,102,48016,113,80,0.768707,0.856902,470.745098,48,38,48,31,17,11,28,24,4,2,14,11,13,8,20,11,9,7,3,1,3,3,11,7,0,0,combat
general_final_0103,285,199,139340,220,149,0.77193,0.888029,700.201005,65,36,94,70,61,43,44,22,7,4,11,7,16,11,45,31,28,23,29,20,13,10,15,10,0,0,exploration
general_final_0106,51,11,4881,40,7,0.784314,0.90002,443.727273,10,4,23,3,7,0,7,4,2,0,1,0,6,1,13,2,4,0,2,0,1,0,4,0,0,0,exploration
general_final_0109,44,42,25872,26,24,0.590909,0.878053,616.0,14,13,9,8,3,3,11,10,0,0,0,0,2,2,4,3,3,3,0,0,3,3,0,0,0,0,exploration
general_final_0110,1210,769,405201,1039,664,0.858678,0.854435,526.919376,356,251,444,278,239,135,151,107,78,55,121,85,87,56,209,132,143,87,111,75,37,17,87,41,0,0,exploration
general_final_0114,49,22,72485,38,18,0.77551,0.947713,3294.772727,17,8,19,10,2,0,14,7,0,0,2,1,4,3,13,5,2,2,1,0,1,0,0,0,0,0,exploration
general_final_0115,206,170,223903,153,123,0.742718,0.960773,1317.076471,70,60,56,42,27,21,46,40,7,7,13,10,13,12,25,17,16,12,13,9,4,3,7,6,0,0,combat
general_final_0116,52,41,56488,45,34,0.865385,0.934375,1377.756098,30,28,10,5,5,1,21,21,4,4,2,1,4,3,5,1,1,1,0,0,0,0,4,0,0,0,combat
general_final_0117,48,44,90000,41,37,0.854167,0.797,2045.454545,14,12,18,16,9,9,9,8,2,2,3,2,9,8,4,3,5,5,2,2,2,2,3,3,0,0,exploration
general_final_0118,237,212,310689,184,167,0.776371,0.736904,1465.514151,82,75,82,76,20,16,52,46,10,10,10,9,34,32,14,10,23,23,6,4,6,6,5,4,0,0,exploration
general_final_0120,29,26,48865,27,25,0.931034,0.996521,1879.423077,13,13,13,11,1,1,10,10,1,1,1,1,6,5,5,5,1,1,1,1,0,0,0,0,0,0,combat
general_final_0122,44,38,56512,36,32,0.818182,0.869072,1487.157895,13,10,21,20,2,2,8,6,1,1,3,3,7,7,7,6,3,3,2,2,0,0,0,0,0,0,exploration
general_final_0123,114,105,143678,83,75,0.72807,0.875374,1368.361905,49,43,26,25,8,7,41,35,2,2,5,5,8,8,12,12,6,5,2,2,2,2,4,3,0,0,combat
general_final_0124,94,77,47883,72,55,0.765957,0.756156,621.857143,48,35,17,15,7,5,35,29,1,0,8,2,10,9,5,4,2,2,2,1,2,1,2,2,0,0,combat
general_final_0125,48,40,49138,36,29,0.75,0.891652,1228.45,20,16,9,9,7,4,13,10,1,1,4,4,5,5,2,2,1,1,0,0,1,1,5,2,0,0,combat
general_final_0126,253,54,43630,218,48,0.86166,0.949072,807.962963,97,31,100,17,21,0,62,19,11,3,19,7,25,6,55,8,19,3,8,0,1,0,12,0,0,0,exploration
general_final_0127,335,264,650551,272,216,0.81194,0.919673,2464.208333,97,69,114,89,61,58,51,28,23,21,19,16,23,18,57,44,29,22,25,24,8,8,25,23,0,0,combat
general_final_0128,99,85,76971,74,65,0.747475,0.768458,905.541176,40,35,24,22,10,8,22,21,6,5,7,5,9,8,2,2,11,10,3,2,3,3,1,0,0,0,combat
general_final_0129,182,117,738195,146,99,0.802198,0.840699,6309.358974,97,74,42,24,7,1,75,60,8,7,9,4,13,6,12,9,16,8,0,0,1,0,6,1,0,0,combat
general_final_0130,168,122,301725,134,96,0.797619,0.950906,2473.155738,64,53,46,33,24,10,43,33,11,10,5,5,9,9,21,11,14,11,10,3,4,3,10,4,0,0,combat
general_final_0133,18,17,63023,13,12,0.722222,0.88025,3707.235294,8,7,2,2,3,3,8,7,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,0,combat
general_final_0134,75,55,141854,63,46,0.84,0.956878,2579.163636,19,13,29,22,15,11,6,2,6,5,7,6,9,6,12,9,7,7,3,2,5,4,7,5,0,0,combat
general_final_0136,127,33,456969,105,25,0.826772,0.980123,13847.545455,43,20,38,3,24,2,24,19,2,0,14,0,4,0,21,1,11,1,10,1,3,0,11,1,0,0,combat
general_final_0137,58,50,102680,44,37,0.758621,0.933473,2053.6,24,22,14,11,6,4,11,11,5,4,3,2,12,9,0,0,2,2,1,1,1,1,2,0,0,0,combat
general_final_0138,51,43,913791,37,30,0.72549,0.919221,21250.953488,22,17,13,12,2,1,13,11,0,0,6,4,5,5,8,7,0,0,0,0,2,1,0,0,0,0,combat
general_final_0141,68,46,230194,51,38,0.75,0.995686,5004.217391,22,15,15,12,14,11,20,14,0,0,2,1,6,6,7,5,1,1,8,6,3,3,3,2,0,0,combat
general_final_0142,236,173,369273,200,146,0.847458,0.828896,2134.526012,87,72,88,54,25,20,47,37,11,8,23,22,11,7,57,35,16,9,12,11,2,1,11,8,0,0,combat
general_final_0143,39,22,14744,31,14,0.794872,0.903757,670.181818,20,4,5,5,6,5,19,3,0,0,1,1,1,1,2,2,2,2,5,4,1,1,0,0,0,0,combat
general_final_0144,203,86,42048,171,72,0.842365,0.878995,488.930233,72,32,71,31,28,9,54,30,3,1,10,1,21,14,31,11,18,6,12,3,4,3,11,2,0,0,exploration
general_final_0145,760,124,117979,616,106,0.810526,0.917155,951.443548,231,42,225,35,160,29,107,17,51,11,70,14,37,11,137,20,48,4,80,13,24,4,46,10,8,2,combat
general_final_0146,14,8,8753,9,5,0.642857,0.811265,1094.125,4,3,3,0,2,2,3,3,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,combat
general_final_0149,161,139,210302,131,115,0.813665,0.933044,1512.964029,67,57,58,52,6,6,56,49,1,1,6,5,29,27,20,16,8,8,0,0,4,4,2,2,0,0,combat
general_final_0150,16,15,18776,16,15,1.0,1.0,1251.733333,11,10,2,2,3,3,2,2,5,4,2,2,1,1,1,1,0,0,0,0,0,0,2,2,0,0,combat
general_final_0153,48,35,11003,29,18,0.604167,0.739344,314.371429,16,13,9,4,4,1,13,12,1,0,1,0,1,0,3,1,2,0,1,0,0,0,3,1,0,0,exploration
general_final_0154,85,53,94152,69,42,0.811765,0.700888,1776.45283,29,18,26,15,14,9,14,8,5,3,8,6,6,6,12,4,7,5,5,3,3,2,6,4,0,0,combat
