final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,game_share_combat,game_share_exploration,game_share_strategic_reasoning,played_game_share_combat,played_game_share_exploration,played_game_share_strategic_reasoning,has_recent_activity,recent_total_playtime_minutes,recent_active_games,recent_categorized_playtime_minutes,recent_categorized_active_games,recent_category_playtime_coverage,recent_active_games_combat,recent_active_games_exploration,recent_active_games_strategic_reasoning,recent_active_game_share_combat,recent_active_game_share_exploration,recent_active_game_share_strategic_reasoning,macro_target
general_final_0036,263,185,382830,210,151,0.798479,0.931366,2069.351351,91,78,97,65,22,8,64,56,7,6,15,11,35,30,38,20,19,12,11,5,3,2,8,1,0,0,0.4333333333333333,0.4619047619047619,0.1047619047619047,0.5165562913907285,0.4304635761589404,0.0529801324503311,1,1820.0,12,1819.0,11,0.9994505494505496,5,5,1,0.4545454545454545,0.4545454545454545,0.0909090909090909,exploration
general_final_0037,46,31,41790,35,21,0.76087,0.967911,1348.064516,12,9,15,9,8,3,10,7,0,0,0,0,4,3,7,4,3,1,4,2,1,0,3,1,0,0,0.3428571428571428,0.4285714285714285,0.2285714285714285,0.4285714285714285,0.4285714285714285,0.1428571428571428,1,6087.0,16,5639.0,8,0.9264005257105308,4,2,2,0.5,0.25,0.25,combat
general_final_0040,151,139,196048,134,126,0.887417,0.967697,1410.417266,79,76,31,28,24,22,40,39,10,10,19,17,7,6,9,9,13,11,5,4,6,5,13,13,0,0,0.5895522388059702,0.2313432835820895,0.1791044776119403,0.6031746031746031,0.2222222222222222,0.1746031746031746,1,3072.0,6,3072.0,6,1.0,4,2,0,0.6666666666666666,0.3333333333333333,0.0,combat
general_final_0042,18,7,1382,15,5,0.833333,0.947902,197.428571,8,3,1,0,6,2,7,2,0,0,1,1,0,0,1,0,0,0,4,1,0,0,2,1,0,0,0.5333333333333333,0.0666666666666666,0.4,0.6,0.0,0.4,1,14.0,3,14.0,3,1.0,2,0,1,0.6666666666666666,0.0,0.3333333333333333,combat
general_final_0044,1043,392,623235,801,303,0.767977,0.931227,1589.885204,299,139,329,105,173,59,138,69,70,33,76,26,78,36,162,33,76,30,81,27,26,10,57,18,0,0,0.3732833957553059,0.4107365792759051,0.215980024968789,0.4587458745874587,0.3465346534653465,0.1947194719471947,1,9112.0,22,5862.0,10,0.6433274802458296,7,2,1,0.7,0.2,0.1,combat
general_final_0045,12,12,14990,7,7,0.583333,0.91014,1249.166667,4,4,0,0,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0.5714285714285714,0.0,0.4285714285714285,0.5714285714285714,0.0,0.4285714285714285,1,210.0,2,210.0,2,1.0,1,0,1,0.5,0.0,0.5,strategic_reasoning
general_final_0046,246,186,378864,204,154,0.829268,0.810172,2036.903226,111,84,80,59,13,11,78,55,17,14,11,11,30,24,28,18,15,12,4,4,3,1,6,6,0,0,0.5441176470588235,0.392156862745098,0.0637254901960784,0.5454545454545454,0.3831168831168831,0.0714285714285714,1,1255.0,3,1255.0,3,1.0,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,exploration
general_final_0047,48,29,131639,39,25,0.8125,0.976519,4539.275862,26,17,7,4,6,4,22,13,1,1,2,2,1,1,3,1,3,2,0,0,0,0,6,4,0,0,0.6666666666666666,0.1794871794871795,0.1538461538461538,0.68,0.16,0.16,1,428.0,1,428.0,1,1.0,1,0,0,1.0,0.0,0.0,combat
general_final_0048,169,111,37680,133,91,0.786982,0.749469,339.459459,58,39,57,39,18,13,43,31,6,3,7,4,16,10,23,16,17,12,10,7,3,3,5,3,0,0,0.4360902255639097,0.4285714285714285,0.1353383458646616,0.4285714285714285,0.4285714285714285,0.1428571428571428,1,1768.0,10,676.0,8,0.3823529411764705,4,4,0,0.5,0.5,0.0,combat
general_final_0049,586,495,358744,452,384,0.771331,0.899675,724.735354,233,197,148,121,71,66,167,141,19,17,29,23,53,47,55,38,34,30,14,13,19,19,33,30,0,0,0.5154867256637168,0.3274336283185841,0.1570796460176991,0.5130208333333334,0.3151041666666667,0.171875,1,866.0,11,458.0,8,0.5288683602771362,3,5,0,0.375,0.625,0.0,combat
general_final_0050,52,35,10247,40,25,0.769231,0.92915,292.771429,17,14,16,8,7,3,15,12,1,1,0,0,8,5,7,2,1,1,2,0,3,2,1,0,0,0,0.425,0.4,0.175,0.56,0.32,0.12,1,2063.0,15,2012.0,11,0.9752787203102278,7,3,1,0.6363636363636364,0.2727272727272727,0.0909090909090909,combat
general_final_0051,20,16,47440,18,15,0.9,0.999515,2965.0,12,12,3,2,3,1,8,8,1,1,1,1,2,2,1,0,0,0,0,0,1,0,2,1,0,0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8,0.1333333333333333,0.0666666666666666,1,3579.0,5,3579.0,5,1.0,3,1,1,0.6,0.2,0.2,combat
general_final_0053,3,3,991,2,2,0.666667,0.729566,330.333333,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1,244.0,2,244.0,2,1.0,0,0,2,0.0,0.0,1.0,strategic_reasoning
general_final_0054,204,146,524162,171,123,0.838235,0.951412,3590.150685,92,69,64,43,15,11,63,51,15,13,12,3,16,11,28,19,19,13,4,3,0,0,10,7,0,0,0.5380116959064327,0.3742690058479532,0.087719298245614,0.5609756097560976,0.3495934959349593,0.089430894308943,1,3286.0,3,3286.0,3,1.0,3,0,0,1.0,0.0,0.0,combat
general_final_0055,48,26,29926,36,19,0.75,0.989006,1151.0,19,14,9,1,8,4,15,12,2,1,2,1,1,1,5,0,3,0,3,2,3,2,2,0,0,0,0.5277777777777778,0.25,0.2222222222222222,0.7368421052631579,0.0526315789473684,0.2105263157894736,1,1165.0,2,1165.0,2,1.0,2,0,0,1.0,0.0,0.0,combat
general_final_0056,205,181,291326,152,133,0.741463,0.849361,1609.535912,74,61,55,51,23,21,63,53,1,0,7,5,28,27,16,14,10,10,7,5,12,12,4,4,0,0,0.4868421052631579,0.3618421052631579,0.1513157894736842,0.4586466165413533,0.3834586466165413,0.1578947368421052,1,2616.0,15,1927.0,12,0.7366207951070336,6,5,1,0.5,0.4166666666666667,0.0833333333333333,combat
general_final_0058,86,65,208661,73,57,0.848837,0.883361,3210.169231,49,39,14,10,10,8,37,28,4,4,4,4,5,4,3,2,4,2,2,2,2,2,4,2,0,0,0.6712328767123288,0.1917808219178082,0.136986301369863,0.6842105263157895,0.175438596491228,0.1403508771929824,1,5009.0,6,4372.0,4,0.8728289079656618,3,0,1,0.75,0.0,0.25,combat
general_final_0060,3,3,2280,2,2,0.666667,0.987281,760.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0.5,0.0,1,472.0,1,472.0,1,1.0,0,1,0,0.0,1.0,0.0,exploration
general_final_0061,99,80,333601,83,69,0.838384,0.893678,4170.0125,53,44,23,18,7,7,40,33,4,4,8,7,8,7,7,5,8,6,1,1,1,1,5,5,0,0,0.6385542168674698,0.2771084337349397,0.0843373493975903,0.6376811594202898,0.2608695652173913,0.1014492753623188,1,3253.0,5,3253.0,5,1.0,3,2,0,0.6,0.4,0.0,combat
general_final_0063,4,4,338,2,2,0.5,0.902367,84.5,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1,25.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,combat
general_final_0065,58,30,19795,49,25,0.844828,0.883304,659.833333,18,9,25,13,6,3,7,6,7,2,2,0,6,3,11,2,4,4,2,1,4,2,0,0,0,0,0.3673469387755102,0.5102040816326531,0.1224489795918367,0.36,0.52,0.12,1,284.0,4,284.0,4,1.0,3,1,0,0.75,0.25,0.0,combat
general_final_0066,84,66,90262,70,55,0.833333,0.837861,1367.606061,39,32,19,13,12,10,20,14,6,6,6,5,2,2,9,6,4,2,6,4,1,1,5,5,0,0,0.5571428571428572,0.2714285714285714,0.1714285714285714,0.5818181818181818,0.2363636363636363,0.1818181818181818,1,6303.0,9,1413.0,5,0.2241789623988576,2,1,2,0.4,0.2,0.4,combat
general_final_0067,94,73,117970,65,51,0.691489,0.928889,1616.027397,43,37,16,11,6,3,25,22,3,3,5,2,4,2,7,4,2,2,1,0,2,1,2,1,0,0,0.6615384615384615,0.2461538461538461,0.0923076923076923,0.7254901960784313,0.2156862745098039,0.0588235294117647,1,3654.0,9,3539.0,7,0.968527640941434,6,1,0,0.8571428571428571,0.1428571428571428,0.0,combat
general_final_0068,46,31,20697,39,28,0.847826,0.983621,667.645161,20,16,13,9,6,3,13,12,2,2,2,1,6,4,6,5,1,0,1,0,0,0,5,3,0,0,0.5128205128205128,0.3333333333333333,0.1538461538461538,0.5714285714285714,0.3214285714285714,0.1071428571428571,1,508.0,3,508.0,3,1.0,2,1,0,0.6666666666666666,0.3333333333333333,0.0,combat
general_final_0069,72,24,13891,66,20,0.916667,0.943129,578.791667,25,10,33,8,8,2,15,5,3,1,6,3,9,2,16,3,8,3,1,1,2,0,5,1,0,0,0.3787878787878788,0.5,0.1212121212121212,0.5,0.4,0.1,1,959.0,9,502.0,8,0.5234619395203337,5,1,2,0.625,0.125,0.25,combat
general_final_0071,81,79,115134,67,65,0.82716,0.877265,1457.392405,23,22,35,35,9,8,14,13,5,5,4,4,14,14,13,13,6,6,2,1,2,2,4,4,0,0,0.3432835820895522,0.5223880597014925,0.1343283582089552,0.3384615384615385,0.5384615384615384,0.123076923076923,1,51.0,3,51.0,3,1.0,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,combat
general_final_0073,52,36,89193,41,27,0.788462,0.923032,2477.583333,25,20,11,6,5,1,19,15,2,1,1,1,5,4,3,1,3,1,2,0,1,0,1,0,0,0,0.6097560975609756,0.2682926829268293,0.1219512195121951,0.7407407407407407,0.2222222222222222,0.037037037037037,1,5122.0,1,5122.0,1,1.0,1,0,0,1.0,0.0,0.0,combat
general_final_0076,25,24,130884,22,21,0.88,0.996654,5453.5,16,16,4,4,2,1,13,13,1,1,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0.7272727272727273,0.1818181818181818,0.0909090909090909,0.7619047619047619,0.1904761904761904,0.0476190476190476,1,5123.0,5,5121.0,4,0.999609603747804,3,1,0,0.75,0.25,0.0,combat
