steamid,hours_exploration_rpg,games_exploration_rpg,hours_exploration_open_world,games_exploration_open_world,hours_exploration_adventure,games_exploration_adventure,total_playtime,num_games,avg_playtime_per_game,exploration_rpg,exploration_open_world,exploration_adventure,diversity,entropy,dominance,second_max,gap,target
76561198408630774,612.25,19,916.15,40,25.683333333333334,4,1554.0833333333335,63,24.66798941798942,0.3939621427422382,0.5895115019572095,0.016526355300552308,3,1.0767036434346386,0.5895115019572095,0.3939621427422382,0.1955493592149713,exploration_open_world
76561198416904447,2.8,2,86.68333333333334,4,11.633333333333333,2,101.11666666666667,8,12.639583333333334,0.02769078622053733,0.8572605900774682,0.11504862370199438,3,0.6926783806473871,0.8572605900774682,0.11504862370199438,0.7422119663754738,exploration_open_world
76561198419798999,30.75,7,1049.3,65,86.05,10,1166.1,82,14.220731707317071,0.026369951119115,0.8998370637166624,0.07379298516422263,3,0.5528115492011128,0.8998370637166624,0.07379298516422263,0.8260440785524398,exploration_open_world
76561198438689701,378.73333333333335,3,592.6333333333333,20,51.3,4,1022.6666666666666,27,37.876543209876544,0.3703389830508475,0.5794980443285528,0.05016297262059974,3,1.2034282620796213,0.5794980443285528,0.3703389830508475,0.20915906127770528,exploration_open_world
76561198439497587,221.68333333333334,21,137.0,23,32.25,25,390.93333333333334,69,5.665700483091787,0.5670617326057299,0.35044338335607095,0.08249488403819918,3,1.2911726255291414,0.5670617326057299,0.35044338335607095,0.21661834924965895,exploration_rpg
76561198443835056,1.9333333333333333,1,126.8,5,59.483333333333334,1,188.21666666666664,7,26.888095238095236,0.010271849818471622,0.673691667404587,0.3160364827769415,3,0.9769445457165278,0.673691667404587,0.3160364827769415,0.35765518462764545,exploration_open_world
76561198448604074,313.31666666666666,15,991.4499999999999,30,115.03333333333333,19,1419.8,64,22.184375,0.22067662112034558,0.6983025778278631,0.08102080105179134,3,1.1365935266901313,0.6983025778278631,0.22067662112034558,0.4776259567075175,exploration_open_world
76561198681768628,0.0,0,1.5999999999999999,2,0.0,0,1.5999999999999999,2,0.7999999999999999,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,exploration_open_world
76561198688946192,6.983333333333333,1,22.933333333333334,2,0.0,0,29.916666666666668,3,9.972222222222223,0.23342618384401115,0.7665738161559889,0.0,2,0.7839362634234415,0.7665738161559889,0.23342618384401115,0.5331476323119777,exploration_open_world
76561198698268684,0.0,0,3.4499999999999997,4,0.0,0,3.4499999999999997,4,0.8624999999999999,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,exploration_open_world
76561198722267029,64.86666666666667,2,6.866666666666667,2,0.0,0,71.73333333333335,4,17.933333333333337,0.9042750929368029,0.09572490706319702,0.0,2,0.455295487815088,0.9042750929368029,0.09572490706319702,0.8085501858736058,exploration_rpg
76561198722776476,0.0,0,3.433333333333333,1,0.0,0,3.433333333333333,1,3.433333333333333,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,exploration_open_world
76561198734942039,0.0,0,0.0,0,5.75,1,5.75,1,5.75,0.0,0.0,1.0,1,-0.0,1.0,0.0,1.0,exploration_adventure
76561198735263241,8.583333333333334,3,100.78333333333333,9,33.46666666666667,5,142.83333333333331,17,8.401960784313724,0.06009334889148193,0.705600933488915,0.2343057176196033,3,1.0892758063627053,0.705600933488915,0.2343057176196033,0.47129521586931167,exploration_open_world
76561198743664500,0.0,0,0.43333333333333335,1,0.8333333333333334,1,1.2666666666666666,2,0.6333333333333333,0.0,0.34210526315789475,0.6578947368421053,2,0.9268190639645772,0.6578947368421053,0.34210526315789475,0.31578947368421056,exploration_adventure
