steamid,combat,exploration,puzzle,hours_combat,hours_exploration,hours_puzzle,games_combat,games_exploration,games_puzzle,total_playtime,num_games,avg_playtime_per_game,diversity,entropy,dominance,second_max,gap,target
76561198351063966,0.6886068756511032,0.3010129130445316,0.010380211304365063,5210.883333333333,2277.85,78.55000000000001,44.333333333333336,48.333333333333336,4.333333333333333,7567.283333333334,97.0,78.01323024054983,3,0.9604320238822956,0.6886068756511032,0.3010129130445316,0.38759396260657164,combat
76561198389287631,0.970559811792692,0.026335467282363436,0.003104720924944465,3699.1916666666666,100.375,11.833333333333334,42.5,13.5,1.0,3811.4,57.0,66.86666666666667,3,0.20588642577960803,0.970559811792692,0.026335467282363436,0.9442243445103286,combat
76561198402634405,0.9425835407482932,0.03301146529922732,0.024404993952479487,1571.6166666666666,55.041666666666664,40.69166666666667,11.0,2.0,4.0,1667.35,17.0,98.07941176470588,3,0.37358503966400414,0.9425835407482932,0.03301146529922732,0.9095720754490659,combat
76561198402842854,0.35211096406158476,0.6235257935697093,0.024363242368705906,1866.8277777777778,3305.8194444444443,129.16944444444445,30.0,45.0,15.0,5301.816666666667,90.0,58.90907407407407,3,1.0857290910735573,0.6235257935697093,0.35211096406158476,0.2714148295081245,exploration
76561198408630774,0.3389228306115914,0.6463848863272494,0.01469228306115914,735.0388888888889,1401.8472222222222,31.863888888888887,40.833333333333336,51.333333333333336,5.833333333333333,2168.75,98.0,22.130102040816325,3,1.0254288093960466,0.6463848863272494,0.3389228306115914,0.30746205571565804,exploration
76561198416904447,0.9463366287260171,0.05174348297657487,0.001919888297408151,1265.1416666666667,69.175,2.566666666666667,24.5,5.5,2.0,1336.8833333333332,32.0,41.77760416666666,3,0.31370386529301875,0.9463366287260171,0.05174348297657487,0.8945931457494423,combat
76561198419798999,0.4562134080976334,0.4656139193535087,0.07817267254885792,922.0833333333334,941.0833333333334,158.0,63.666666666666664,72.16666666666667,22.166666666666668,2021.1666666666667,158.0,12.792194092827005,3,1.3174657073964395,0.4656139193535087,0.4562134080976334,0.009400511255875321,exploration
76561198438689701,0.17831929745948485,0.7631341952546007,0.058546507285914484,225.50555555555556,965.0722222222223,74.03888888888889,10.833333333333334,20.833333333333332,7.333333333333333,1264.6166666666668,39.0,32.42606837606838,3,0.9808841590511466,0.7631341952546007,0.17831929745948485,0.5848148977951159,exploration
76561198439497587,0.8709702990166567,0.11088902267710213,0.018140678306241217,2411.1361111111114,306.97777777777776,50.21944444444444,44.333333333333336,49.833333333333336,18.833333333333332,2768.3333333333335,113.0,24.498525073746315,3,0.6303554058582149,0.8709702990166567,0.11088902267710213,0.7600812763395546,combat
76561198443835056,0.7275863112348332,0.25338134285454933,0.01903234591061757,400.76666666666665,139.56666666666666,10.483333333333334,11.0,5.0,2.0,550.8166666666666,18.0,30.60092592592592,3,0.944452772904609,0.7275863112348332,0.25338134285454933,0.47420496838028386,combat
