steamid,hours_puzzle_narrative,games_puzzle_narrative,hours_puzzle_spatial,games_puzzle_spatial,hours_puzzle_logic,games_puzzle_logic,total_playtime,num_games,avg_playtime_per_game,puzzle_narrative,puzzle_spatial,puzzle_logic,diversity,entropy,dominance,second_max,gap,target
76561198756090448,1.3166666666666667,1,12.100000000000001,2,0.0,0,13.416666666666668,3,4.472222222222222,0.09813664596273292,0.9018633540372671,0.0,2,0.4630609172368784,0.9018633540372671,0.09813664596273292,0.8037267080745343,puzzle_spatial
76561198768578988,0.0,0,3.25,1,0.0,0,3.25,1,3.25,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,puzzle_spatial
76561198772435366,0.0,0,14.0,2,0.0,0,14.0,2,7.0,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,puzzle_spatial
76561198783881312,0.0,0,17.466666666666665,2,0.0,0,17.466666666666665,2,8.733333333333333,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,puzzle_spatial
76561198784632981,0.0,0,4.816666666666666,1,0.0,0,4.816666666666666,1,4.816666666666666,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,puzzle_spatial
76561198799814214,0.0,0,32.31666666666666,4,23.916666666666668,5,56.233333333333334,9,6.2481481481481485,0.0,0.5746887966804979,0.42531120331950206,2,0.983843692258506,0.5746887966804979,0.42531120331950206,0.14937759336099582,puzzle_spatial
76561198807861778,0.0,0,89.86666666666667,2,13.566666666666666,4,103.43333333333334,6,17.23888888888889,0.0,0.868836609732517,0.13116339026748308,2,0.5606201766100425,0.868836609732517,0.13116339026748308,0.737673219465034,puzzle_spatial
76561198813665474,10.516666666666667,3,18.066666666666666,3,8.566666666666666,2,37.150000000000006,8,4.643750000000001,0.2830865859129654,0.4863167339614176,0.23059668012561682,3,1.5092671829343876,0.4863167339614176,0.2830865859129654,0.20323014804845219,puzzle_spatial
76561198814167257,1.6666666666666667,2,13.35,3,0.4166666666666667,1,15.433333333333332,6,2.572222222222222,0.10799136069114472,0.8650107991360692,0.02699784017278618,3,0.6684165170818157,0.8650107991360692,0.10799136069114472,0.7570194384449245,puzzle_spatial
76561198826956274,5.416666666666667,1,60.31666666666666,4,1.5833333333333333,2,67.31666666666666,7,9.616666666666665,0.08046546174795742,0.8960138648180243,0.02352067343401832,3,0.5617111264544363,0.8960138648180243,0.08046546174795742,0.8155484030700668,puzzle_spatial
76561198833154411,17.099999999999998,3,51.483333333333334,5,72.18333333333334,10,140.76666666666665,18,7.8203703703703695,0.12147762254321572,0.3657352592943406,0.5127871181624438,3,1.3942764121818076,0.5127871181624438,0.3657352592943406,0.14705185886810324,puzzle_logic
76561198846653510,44.15,13,69.55,8,31.583333333333332,7,145.28333333333333,28,5.188690476190476,0.30388895262131466,0.47871974303085923,0.21739130434782608,3,1.5095717996931672,0.47871974303085923,0.30388895262131466,0.17483079040954458,puzzle_spatial
76561198849962442,20.96666666666667,3,4.983333333333333,1,2.1,2,28.050000000000004,6,4.675000000000001,0.7474747474747474,0.17765894236482468,0.0748663101604278,3,1.0367039775507638,0.7474747474747474,0.17765894236482468,0.5698158051099227,puzzle_narrative
76561198849975124,76.25,15,32.13333333333333,6,111.35,21,219.73333333333332,42,5.231746031746032,0.34701152912621364,0.14623786407766992,0.5067506067961165,3,1.432420411011837,0.5067506067961165,0.34701152912621364,0.15973907766990286,puzzle_logic
76561198856202641,6.616666666666666,1,47.233333333333334,3,5.666666666666667,1,59.516666666666666,5,11.903333333333332,0.11117334080089611,0.7936152338280594,0.09521142537104453,3,0.9400086523630924,0.7936152338280594,0.11117334080089611,0.6824418930271633,puzzle_spatial
76561198863254785,17.383333333333333,7,26.916666666666668,4,115.28333333333333,12,159.58333333333331,23,6.938405797101448,0.1089295039164491,0.16866840731070498,0.7224020887728461,3,1.1204086064043626,0.7224020887728461,0.16866840731070498,0.5537336814621411,puzzle_logic
76561198865761149,2.8166666666666664,3,12.183333333333334,4,2.3833333333333333,6,17.383333333333333,13,1.337179487179487,0.16203259827420902,0.700862895493768,0.137104506232023,3,1.1778704237927948,0.700862895493768,0.16203259827420902,0.538830297219559,puzzle_spatial
76561198866375958,5.15,2,48.949999999999996,5,67.66666666666667,4,121.76666666666667,11,11.06969696969697,0.042294004927456885,0.40199835751437174,0.5557076375581714,3,1.1925462217809826,0.5557076375581714,0.40199835751437174,0.1537092800437997,puzzle_logic
76561198878881287,171.76666666666668,1,10.133333333333333,2,26.083333333333332,1,207.98333333333335,4,51.99583333333334,0.8258674573283116,0.04872185271255709,0.12541068995913132,3,0.8159852904865168,0.8258674573283116,0.12541068995913132,0.7004567673691803,puzzle_narrative
76561198896959279,0.0,0,37.88333333333333,3,0.0,0,37.88333333333333,3,12.627777777777778,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,puzzle_spatial
